feature,ens_mean_abs_shap,ens_share_pct,coverage,n_models,mean_rank,ens_mean_signed
G_VHRatio_MenOnBase_Strength_YTD,4.1872291632682925,14.600210548141575,1.0,41,1.4146341463414633,0.004446903292682928
G_VHRatio_ClosingProbabilityLine_HV,3.327969120073171,11.164650224433641,1.0,41,1.8048780487804879,-0.11408237209756099
V_StartingPitcher_StrikeoutAccuracy_YTD,1.9264214891219509,6.879581441841061,1.0,41,4.121951219512195,-1.02368552
G_VHRatio_StartingPitcher_StrikeoutsImpact_YTD,1.7278387084390243,6.126558263932225,1.0,41,4.829268292682927,-0.008705029658536586
H_BallpenOuts_YTD,1.613861084390244,5.983337574853553,1.0,41,4.7073170731707314,-1.2295207989756096
V_ClosingProbabilityLine_YTD_HV,0.8627800329756098,3.4167379811360012,1.0,41,9.963414634146341,-0.2719471192195122
G_VHRatio_StartingPitcher_StrikesImpact_YTD,0.9104306703658536,3.1256256380499425,1.0,41,12.317073170731707,0.09191871946341462
G_VHRatio_OPS_YTD,0.8454143793414634,2.9487395464542416,1.0,41,11.682926829268293,-0.0007539342439024397
G_VHRatio_MenOnBase_Allowed_20G,0.778635493487805,2.918963458149002,1.0,41,10.878048780487806,-0.006926806829268292
G_VHRatio_StartingPitcher_WalkHitsAllowedPerInning_5G,0.727003861902439,2.810005707133895,1.0,41,11.487804878048781,0.028293492536585363
G_VHRatio_MenOnBase_Strength_20G,0.7227985696585366,2.7142047560574993,1.0,41,15.024390243902438,-0.07122820319512195
G_VHRatio_BallpenOuts_YTD,0.6917268041463415,2.4761736600028232,1.0,41,13.439024390243903,0.06306349273170732
G_VHRatio_StartingPitcher_StrikeoutAccuracy_5G,0.6073574473658536,2.182608136692547,1.0,41,16.51219512195122,0.04973396199999999
G_VHRatio_OutsPitched_YTD,0.5711799858780487,2.176443321578043,1.0,41,15.658536585365853,0.04784535697560975
G_VHRatio_StartingPitcher_WalkHitsAllowedPerInning_YTD,0.6080814561707317,2.1239220374872874,1.0,41,16.829268292682926,-0.004111106999999998
G_VHRatio_MenOnBase_Efficiency_20G,0.4907621020487805,1.965472370204125,1.0,41,17.853658536585368,0.012722941609756096
V_ClosingProbabilityLine_HV,0.5414066631707317,1.9168179131301537,1.0,41,18.70731707317073,-0.0719247597804878
G_VHRatio_StartingPitcher_Strikes_Ratio_5G,0.4265387344634146,1.877624755502915,1.0,41,17.902439024390244,-0.010145746219512194
G_VHRatio_K_Per_9_YTD,0.43322107180487807,1.8677728243941574,1.0,41,18.146341463414632,-0.1122195436097561
G_VHRatio_K_Per_9,0.38544210860975614,1.7460467163944862,1.0,41,19.463414634146343,0.030219695609756094
G_VHRatio_FIP_YTD,0.4593382456585366,1.7404468464905232,1.0,41,20.036585365853657,0.12169700956097561
G_VHRatio_Run_Pythag,0.41635345000000007,1.7037826815371402,1.0,41,20.024390243902438,-0.06930055860975609
V_Pythag_Luck_Factor_YTD,0.333536347,1.5397884198312513,1.0,41,21.75609756097561,0.017832202000000002
G_VHRatio_Runs_5InningsAllowed_YTD,0.2731475970731707,1.5082169188761165,1.0,41,22.365853658536587,-0.001740545024390244
G_VHRatio_FIP,0.3758282377804878,1.5034867463945725,1.0,41,22.4390243902439,0.012097931853658535
H_Pythag_Luck_Factor_YTD,0.3139375323170731,1.4161062691761337,1.0,41,23.5609756097561,-0.028643121585365857
G_VHRatio_TotalDistanceTravelled_3G,0.3014367753414634,1.3282736437880507,1.0,41,24.841463414634145,-0.029263084341463415
G_VHRatio_EarnedRuns,0.2543220186097561,1.2321878884525554,1.0,41,26.902439024390244,0.009873018609756099
H_BallpenERA_Approx_YTD,0.22558253773170728,1.1442541523644176,1.0,41,27.25609756097561,-0.021884933073170736
G_VHRatio_K_Minus_BB_Pct_YTD,0.24223588992682923,1.0852307821686087,1.0,41,28.158536585365855,0.0281266693902439
G_VHRatio_BallpenERA_Approx_YTD,0.20854113478048783,1.0793133987369836,1.0,41,28.317073170731707,0.03404844963414634
G_VHRatio_StartingPitcher_Score_Ratio,0.23049029504878046,1.0501276909549102,1.0,41,28.878048780487806,0.012992799292682924
G_VHRatio_Run_Differential_Per_Game,0.1965152438536585,0.9281428347120115,1.0,41,30.51219512195122,0.000722136829268293
G_VHRatio_Run_Differential_Per_Game_YTD,0.1929702347073171,0.9103287298677959,1.0,41,30.670731707317074,0.01165322412195122
G_VHRatio_WinLoss_Strength_5G,0.13817220270731706,0.8088161210797531,1.0,41,31.536585365853657,0.005988981121951221
